Tentativa: 1 Dados: Last Distance:0, Last Score:0, Score:0
Tentativa: 2 Dados: Last Distance:-0.1, Last Score:-6000, Score:0
Tentativa: 3 Dados: Last Distance:-0.2, Last Score:-6000, Score:0
Tentativa: 4 Dados: Last Distance:-0.3, Last Score:-6000, Score:0
Tentativa: 5 Dados: Last Distance:-0.4, Last Score:-6000, Score:0
Tentativa: 6 Dados: Last Distance:-0.5, Last Score:-6000, Score:0
Tentativa: 7 Dados: Last Distance:-0.6, Last Score:-6000, Score:0
Tentativa: 8 Dados: Last Distance:-0.7, Last Score:-6000, Score:0
Tentativa: 9 Dados: Last Distance:-0.8, Last Score:-6000, Score:0
Tentativa: 10 Dados: Last Distance:-0.9, Last Score:-6000, Score:0
Tentativa: 11 Dados: Last Distance:-1, Last Score:-6000, Score:0
Tentativa: 12 Dados: Last Distance:-1.1, Last Score:-6000, Score:0
Tentativa: 13 Dados: Last Distance:-1.2, Last Score:-6000, Score:0
Tentativa: 14 Dados: Last Distance:-1.3, Last Score:-6000, Score:0
Tentativa: 15 Dados: Last Distance:-1.4, Last Score:-6000, Score:0
Tentativa: 16 Dados: Last Distance:-1.5, Last Score:-6000, Score:0
Tentativa: 17 Dados: Last Distance:-1.6, Last Score:-6000, Score:0
Tentativa: 18 Dados: Last Distance:-1.7, Last Score:-6000, Score:0
Tentativa: 19 Dados: Last Distance:-1.8, Last Score:-6000, Score:0
Tentativa: 20 Dados: Last Distance:-1.9, Last Score:-6000, Score:0
Tentativa: 21 Dados: Last Distance:-2, Last Score:-6000, Score:0
Tentativa: 22 Dados: Last Distance:-2.1, Last Score:-6000, Score:0
Tentativa: 23 Dados: Last Distance:-2.2, Last Score:-6000, Score:0
Tentativa: 24 Dados: Last Distance:-2.3, Last Score:-6000, Score:0
Tentativa: 25 Dados: Last Distance:-2.4, Last Score:-6000, Score:0
Tentativa: 26 Dados: Last Distance:-2.5, Last Score:-6000, Score:0
Tentativa: 27 Dados: Last Distance:-2.6, Last Score:-6000, Score:0
Tentativa: 28 Dados: Last Distance:-2.7, Last Score:-6000, Score:0
Tentativa: 29 Dados: Last Distance:-2.8, Last Score:-6000, Score:0
Tentativa: 30 Dados: Last Distance:-2.9, Last Score:-6000, Score:0
Tentativa: 31 Dados: Last Distance:-3, Last Score:-6000, Score:0
Tentativa: 32 Dados: Last Distance:-3.1, Last Score:-6000, Score:0
Tentativa: 33 Dados: Last Distance:-3.2, Last Score:-6000, Score:0
Tentativa: 34 Dados: Last Distance:-3.3, Last Score:-6000, Score:0
Tentativa: 35 Dados: Last Distance:-3.4, Last Score:-6000, Score:0
Tentativa: 36 Dados: Last Distance:-3.5, Last Score:-6000, Score:0
Tentativa: 37 Dados: Last Distance:-3.6, Last Score:-6000, Score:0
Tentativa: 38 Dados: Last Distance:-3.7, Last Score:-6000, Score:0
Tentativa: 39 Dados: Last Distance:-3.8, Last Score:-6000, Score:0
Tentativa: 40 Dados: Last Distance:-3.9, Last Score:-6000, Score:0
Tentativa: 41 Dados: Last Distance:-3.8, Last Score:-6000, Score:0
Tentativa: 42 Dados: Last Distance:-3.9, Last Score:-6000, Score:0
Tentativa: 43 Dados: Last Distance:-4, Last Score:-6000, Score:0
Tentativa: 44 Dados: Last Distance:-4.1, Last Score:-6000, Score:0
Tentativa: 45 Dados: Last Distance:-4, Last Score:-6000, Score:0
Tentativa: 46 Dados: Last Distance:-4.1, Last Score:-6000, Score:0
Tentativa: 47 Dados: Last Distance:-4, Last Score:-6000, Score:0
Tentativa: 48 Dados: Last Distance:-4.1, Last Score:-6000, Score:0
Tentativa: 49 Dados: Last Distance:-4.2, Last Score:-6000, Score:0
Tentativa: 50 Dados: Last Distance:-4.1, Last Score:-6000, Score:0
Tentativa: 51 Dados: Last Distance:-4, Last Score:-6000, Score:0
Tentativa: 52 Dados: Last Distance:-3.9, Last Score:-6000, Score:0
Tentativa: 53 Dados: Last Distance:-4, Last Score:-6000, Score:0
Tentativa: 54 Dados: Last Distance:-4.1, Last Score:-6000, Score:0
Tentativa: 55 Dados: Last Distance:-4.2, Last Score:-6000, Score:0
Tentativa: 56 Dados: Last Distance:-4.3, Last Score:-6000, Score:0
Tentativa: 57 Dados: Last Distance:-4.4, Last Score:-6000, Score:0
Tentativa: 58 Dados: Last Distance:-4.3, Last Score:-6000, Score:0
Tentativa: 59 Dados: Last Distance:-4.4, Last Score:-6000, Score:0
Tentativa: 60 Dados: Last Distance:-4.5, Last Score:-6000, Score:0
Tentativa: 61 Dados: Last Distance:-4.6, Last Score:-6000, Score:0
Tentativa: 62 Dados: Last Distance:-4.5, Last Score:-6000, Score:0
Tentativa: 63 Dados: Last Distance:-4.6, Last Score:-6000, Score:0
Tentativa: 64 Dados: Last Distance:-4.5, Last Score:-6000, Score:0
Tentativa: 65 Dados: Last Distance:-4.6, Last Score:-6000, Score:0
Tentativa: 66 Dados: Last Distance:-5.6, Last Score:-6000, Score:0
Tentativa: 67 Dados: Last Distance:-4.6, Last Score:-6000, Score:0
Tentativa: 68 Dados: Last Distance:-5.6, Last Score:-6000, Score:0
Tentativa: 69 Dados: Last Distance:-4.6, Last Score:-6000, Score:0
Tentativa: 70 Dados: Last Distance:-5.6, Last Score:-6000, Score:0
Tentativa: 71 Dados: Last Distance:-4.6, Last Score:-6000, Score:0
Tentativa: 72 Dados: Last Distance:-5.6, Last Score:-6000, Score:0
Tentativa: 73 Dados: Last Distance:-6.6, Last Score:-6000, Score:0
Tentativa: 74 Dados: Last Distance:-5.6, Last Score:-6000, Score:0
Tentativa: 75 Dados: Last Distance:-6.6, Last Score:-6000, Score:0
Tentativa: 76 Dados: Last Distance:-5.6, Last Score:-6000, Score:0
Tentativa: 77 Dados: Last Distance:-15.6, Last Score:-6000, Score:0
Tentativa: 78 Dados: Last Distance:-5.6, Last Score:-6000, Score:0
Tentativa: 79 Dados: Last Distance:-15.6, Last Score:-6000, Score:0
Tentativa: 80 Dados: Last Distance:-5.6, Last Score:-6000, Score:0
Tentativa: 1 Dados: Last Distance:0, Last Score:0, Score:0
Tentativa: 2 Dados: Last Distance:-0.1, Last Score:-6000, Score:0
Tentativa: 3 Dados: Last Distance:-0.2, Last Score:-6000, Score:0
Tentativa: 4 Dados: Last Distance:-0.3, Last Score:-6000, Score:0
Tentativa: 5 Dados: Last Distance:-0.4, Last Score:-6000, Score:0
Tentativa: 6 Dados: Last Distance:-0.3, Last Score:-6000, Score:0
Tentativa: 7 Dados: Last Distance:-0.2, Last Score:-6000, Score:0
Tentativa: 8 Dados: Last Distance:-0.1, Last Score:-6000, Score:0
Tentativa: 9 Dados: Last Distance:0, Last Score:-6000, Score:0
Tentativa: 10 Dados: Last Distance:0.1, Last Score:-6000, Score:0
Tentativa: 11 Dados: Last Distance:0, Last Score:-6000, Score:0
Tentativa: 1 Dados: Last Distance:-43.6, Last Score:0, Score:0
Tentativa: 2 Dados: Last Distance:-43.7, Last Score:-6000, Score:0
Tentativa: 3 Dados: Last Distance:-43.8, Last Score:-6000, Score:-5900
Tentativa: 4 Dados: Last Distance:-43.7, Last Score:-11900, Score:-6000
Tentativa: 5 Dados: Last Distance:-43.8, Last Score:-12000, Score:-11900
Tentativa: 6 Dados: Last Distance:-43.7, Last Score:-17900, Score:-12000
Tentativa: 7 Dados: Last Distance:-43.8, Last Score:-18000, Score:-17900
Tentativa: 8 Dados: Last Distance:-43.7, Last Score:-23900, Score:-19700
Tentativa: 9 Dados: Last Distance:-43.8, Last Score:-25700, Score:-19800
Tentativa: 10 Dados: Last Distance:-43.9, Last Score:-25700, Score:-19800
Tentativa: 11 Dados: Last Distance:-44, Last Score:-25700, Score:-24000
Tentativa: 1 Dados: Last Distance:-43.6, Last Score:0, Score:100
Tentativa: 2 Dados: Last Distance:-43.5, Last Score:-5900, Score:0
Tentativa: 3 Dados: Last Distance:-43.6, Last Score:-6000, Score:-5900
Tentativa: 4 Dados: Last Distance:-43.5, Last Score:-11900, Score:-7900
Tentativa: 5 Dados: Last Distance:-43.6, Last Score:-13800, Score:-7900
Tentativa: 1 Dados: Last Distance:-43.6, Last Score:0, Score:4000
Tentativa: 2 Dados: Last Distance:-43.7, Last Score:-1900, Score:100
Tentativa: 3 Dados: Last Distance:-43.6, Last Score:-5900, Score:-1900
Tentativa: 4 Dados: Last Distance:-43.7, Last Score:-7900, Score:-1900
Tentativa: 5 Dados: Last Distance:-43.8, Last Score:-7900, Score:-1900
Tentativa: 6 Dados: Last Distance:-43.9, Last Score:-7900, Score:-5900
Tentativa: 7 Dados: Last Distance:-43.8, Last Score:-11900, Score:-11200
Tentativa: 8 Dados: Last Distance:-43.9, Last Score:-17200, Score:-14100
Tentativa: 1 Dados: Last Distance:-43.6, Last Score:0, Score:0
Tentativa: 1 Dados: Last Distance:-43.6, Last Score:0, Score:0
Tentativa: 2 Dados: Last Distance:-43.7, Last Score:-6000, Score:0
Tentativa: 3 Dados: Last Distance:-43.8, Last Score:-6000, Score:1800
Tentativa: 4 Dados: Last Distance:-43.8, Last Score:-4200, Score:100
Tentativa: 5 Dados: Last Distance:-43.9, Last Score:-5900, Score:2300
Tentativa: 1 Dados: Last Distance:-43.6, Last Score:0, Score:0
Tentativa: 2 Dados: Last Distance:-43.7, Last Score:-6000, Score:0
Tentativa: 3 Dados: Last Distance:-43.8, Last Score:-6000, Score:600
Tentativa: 4 Dados: Last Distance:-43.8, Last Score:-5400, Score:2900
Tentativa: 5 Dados: Last Distance:-43.8, Last Score:-3100, Score:0
Tentativa: 6 Dados: Last Distance:-43.9, Last Score:-6000, Score:2200
Tentativa: 7 Dados: Last Distance:-43.9, Last Score:-3800, Score:800
Tentativa: 8 Dados: Last Distance:-44, Last Score:-3800, Score:1400
Tentativa: 9 Dados: Last Distance:-44.1, Last Score:-3800, Score:0
Tentativa: 10 Dados: Last Distance:-44.2, Last Score:-3800, Score:5300
Tentativa: 11 Dados: Last Distance:-44.2, Last Score:-700, Score:300
Tentativa: 1 Dados: Last Distance:-43.6, Best Score:0, Score:0
Tentativa: 2 Dados: Last Distance:-43.7, Best Score:0, Score:100
Tentativa: 3 Dados: Last Distance:-43.8, Best Score:0, Score:100
Tentativa: 1 Dados: Last Distance:-43.6, Best Score:-6000, Score:0
Tentativa: 2 Dados: Last Distance:-43.7, Best Score:-6000, Score:200
Tentativa: 3 Dados: Last Distance:-43.7, Best Score:-5800, Score:100
Tentativa: 4 Dados: Last Distance:-43.8, Best Score:-5800, Score:400
Tentativa: 5 Dados: Last Distance:-43.8, Best Score:-5600, Score:500
Tentativa: 6 Dados: Last Distance:-43.8, Best Score:-5500, Score:400
Tentativa: 7 Dados: Last Distance:-43.9, Best Score:-5500, Score:1800
